0,1,2,3,4,5,6,7,8,9,10,11
피치항공,21:00ICN,22:45KIX,"직항, 01시간 45분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 400,037원~",,
제주항공,07:00ICN,09:00KIX,"직항, 02시간 00분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 400,600원~",,
진에어,14:05ICN,16:00KIX,"직항, 01시간 55분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 401,900원~",,
진에어,14:05ICN,16:00KIX,"직항, 01시간 55분",18:00KIX,19:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 402,200원~",,,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 402,400원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 402,400원~",,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",피치항공,12:30KIX,14:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 403,098원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",피치항공,18:00KIX,20:05ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 403,098원~",,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 404,700원~",,,
피치항공,21:00ICN,22:45KIX,"직항, 01시간 45분",07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 405,388원~",,,
피치항공,07:30ICN,09:15KIX,"직항, 01시간 45분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 405,725원~",,
피치항공,10:35ICN,12:20KIX,"직항, 01시간 45분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 405,725원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 406,500원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 407,999원~",,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 409,000원~",,,
제주항공,09:10ICN,11:00KIX,"직항, 01시간 50분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 409,400원~",,
